"hhid","grappe","menage","region","region_nom","departement","departement_nom","head_sexe","head_age","head_martial_status","head_religion","head_phone","head_internet","head_education","head_educlevel_max","head_travail_champs","head_travail_remun_com","head_travail_salarie","head_travail_non_exerce","head_source_rev_prin","head_bovin_farming","head_caprin_farming","head_salaire_emploi","head_salaire_emploi2","head_bank","head_credit","head_credit_demand","head_credit_obtention","head_credit_last","head_credit_util","owner_head_goat","owner_man_goat","owner_woman_goat","owner_married_goat","owner_school_goat","owner_bank_goat","owner_savings_goat","owner_phone_goat","owner_internet_goat","owner_job_goat","owner_business_goat","owner_farming_pr_goat","owner_farming_sec_goat","owner_num_species_goat","owner_decision_sale_goat","owner_total_sale_value_goat","owner_milk_production_goat","owner_milk_sale_revenue_goat","owner_healthcare_expenditure_goat","owner_head_sheep","owner_man_sheep","owner_woman_sheep","owner_married_sheep","owner_school_sheep","owner_bank_sheep","owner_savings_sheep","owner_phone_sheep","owner_internet_sheep","owner_job_sheep","owner_business_sheep","owner_farming_pr_sheep","owner_farming_sec_sheep","owner_num_species_sheep","owner_decision_sale_sheep","owner_total_sale_value_sheep","owner_milk_production_sheep","owner_milk_sale_revenue_sheep","owner_healthcare_expenditure_sheep","vaccine","household_tv","household_transp","household_radio","household_tel_port","household_tel_fixe","nb_article","etat_article","val_fcfa","prix_revente","reseau_elect_men","reseau_mobile_men","internet_men","percep_rev_men","percep_rev_voisins","percep_rev_capitale","percep_rev_classement","percep_rev_mttmin","diff_dep_loyer","diff_dep_ecl","diff_dep_maladie","diff_dep_transport","diff_sco_enfts","choc_nature","choc_men","choc_me_conseq","choc_str_epargne","choc_str_aide_parents_amis","choc_str_aide_gouvernement","choc_str_aide_religieuses_ONG","choc_str_marier_enfants","choc_str_changement_consommation","choc_str_achat_aliments_moins_chers","choc_str_membres_actifs_emplois_supp","choc_str_membres_adultes_emplois","choc_str_enfants_travailler","choc_str_enfants_descolarises","choc_str_migration","choc_str_reduction_depenses_sante_educ","choc_str_obtention_credit","choc_str_vente_actifs_agricoles","choc_str_vente_biens_durables","choc_str_vente_terrain_immeubles","choc_str_location_terres","choc_str_vente_stock_vivres","choc_str_activites_peche","choc_str_vente_betail","choc_str_confiage_enfants","choc_str_activites_spirituelles","choc_str_culture_contre_saison","choc_str_autre_strategie","choc_str_aucune_strategie","entreprise_nonag_pres","entreprise_nonag_benef","wealth","distance_ville_pr","voie_acces_pr","voie_acces_autre","transp_dispo","transp_moto","transp_voiture","transp_train","transp_pirogue","transp_present","moy_transp_pr","moy_transp_pr_freq","moy_transp_pr_freq_autre","reseau_elect","reseau_mobile","presence_cs","service_hopital","service_autre_sante","service_cabinet","service_banque","service_cea","service_bab","service_transport","service_transport_autre","service_temps_moy","service_pb_aucun","service_pb_eloignmnt","service_pb_insf","service_pb_qualif","service_pb_att","service_pb_acc","service_pb_lieu","service_pb_acces","service_pb_inf","service_pb_prx","service_pb_corr"
"ner10012",1,12,1,"agadez",11,"aderbissinat","homme",NA,"marie monogame","musulman",FALSE,FALSE,"FALSE",NA,TRUE,FALSE,FALSE,NA,"NA",TRUE,FALSE,NA,NA,FALSE,NA,TRUE,TRUE,50000,"Consommation menage",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,NA,FALSE,FALSE,TRUE,FALSE,NA,FALSE,20,TRUE,NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,1,"NA",50000,70000,FALSE,FALSE,FALSE,"Difficilement","Moins bien","Ne sait pas","Pauvre",200000,FALSE,FALSE,FALSE,FALSE,FALSE,108,TRUE,"NA",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,50000,90,"Piste","",TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,"Moto/Tricyle","Plusieurs fois par jour","",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Moto/Tricycle","",150,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"ner3002",3,2,1,"agadez",11,"aderbissinat","homme",NA,"marie polygame","musulman",TRUE,TRUE,"TRUE","secondaire 2 generale",NA,NA,NA,NA,"NA",NA,NA,NA,NA,FALSE,NA,TRUE,NA,NA,"NA",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,FALSE,0,0,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,2,"Neuf",10000,9000,FALSE,FALSE,FALSE,"Passablement","Un peu mieux","Moins bien","Pauvre",60000,FALSE,TRUE,TRUE,TRUE,FALSE,108,TRUE,"NA",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,0,35,"Piste","",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"Taxi/Car","Une fois par semaine","",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Animaux","",15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"ner3004",3,4,1,"agadez",11,"aderbissinat","homme",59,"marie monogame","musulman",TRUE,FALSE,"FALSE",NA,NA,NA,NA,NA,"NA",NA,NA,NA,NA,FALSE,NA,TRUE,NA,25000,"Sante",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,FALSE,0,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,1,"Neuf",12000,6000,FALSE,FALSE,FALSE,"Passablement","Un peu mieux","Moins bien","Pauvre",50000,FALSE,TRUE,TRUE,FALSE,FALSE,108,TRUE,"Diminue",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,0,35,"Piste","",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"Taxi/Car","Une fois par semaine","",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Animaux","",15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"ner3005",3,5,1,"agadez",11,"aderbissinat","homme",NA,"marie monogame","musulman",TRUE,FALSE,"FALSE",NA,TRUE,FALSE,FALSE,NA,"NA",TRUE,FALSE,NA,NA,FALSE,NA,TRUE,NA,14000,"Consommation menage",TRUE,TRUE,TRUE,TRUE,FALSE,NA,NA,TRUE,FALSE,TRUE,FALSE,NA,NA,20,TRUE,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,1,"Neuf",18000,14000,FALSE,FALSE,FALSE,"Assez bien","Un peu mieux","Moins bien","Moyen",150000,FALSE,TRUE,TRUE,FALSE,FALSE,108,TRUE,"NA",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,0,35,"Piste","",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"Taxi/Car","Une fois par semaine","",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Animaux","",15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"ner3007",3,7,1,"agadez",11,"aderbissinat","homme",NA,"marie monogame","musulman",FALSE,FALSE,"FALSE",NA,NA,NA,NA,NA,"NA",NA,NA,NA,NA,FALSE,NA,TRUE,NA,5000,"Consommation menage",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,NA,FALSE,FALSE,NA,FALSE,NA,NA,4,TRUE,95000,FALSE,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,"Piste","",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"Taxi/Car","Une fois par semaine","",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Animaux","",15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"ner3008",3,8,1,"agadez",11,"aderbissinat","homme",25,"marie monogame","musulman",FALSE,FALSE,"FALSE",NA,TRUE,FALSE,TRUE,NA,"NA",TRUE,FALSE,NA,5000,FALSE,NA,TRUE,NA,NA,"NA",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,NA,FALSE,FALSE,TRUE,FALSE,NA,TRUE,7,TRUE,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,1,"Neuf",12000,8000,FALSE,FALSE,FALSE,"Difficilement","Ne sait pas","Moins bien","Très pauvre",50000,FALSE,TRUE,TRUE,FALSE,FALSE,108,TRUE,"Diminue",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,0,35,"Piste","",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"Taxi/Car","Une fois par semaine","",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Animaux","",15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"ner3009",3,9,1,"agadez",11,"aderbissinat","femmme",NA,"veuf","musulman",FALSE,FALSE,"FALSE",NA,FALSE,FALSE,FALSE,FALSE,"Epargne",TRUE,FALSE,NA,NA,FALSE,NA,TRUE,NA,NA,"NA",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,FALSE,NA,FALSE,5,TRUE,NA,TRUE,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,"Piste","",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"Taxi/Car","Une fois par semaine","",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Animaux","",15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"ner30010",3,10,1,"agadez",11,"aderbissinat","homme",NA,"marie monogame","musulman",FALSE,FALSE,"FALSE",NA,NA,NA,NA,NA,"NA",NA,NA,NA,NA,FALSE,NA,TRUE,NA,11000,"Consommation menage",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,NA,FALSE,FALSE,NA,FALSE,NA,NA,NA,TRUE,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,1,"Neuf",20000,7000,FALSE,FALSE,FALSE,"Passablement","Un peu mieux","Moins bien","Pauvre",150000,FALSE,FALSE,FALSE,TRUE,FALSE,108,TRUE,"Diminue",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,NA,0,35,"Piste","",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"Taxi/Car","Une fois par semaine","",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Animaux","",15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"ner30011",3,11,1,"agadez",11,"aderbissinat","homme",NA,"marie polygame","musulman",TRUE,FALSE,"FALSE",NA,TRUE,FALSE,FALSE,NA,"NA",FALSE,TRUE,NA,NA,FALSE,NA,TRUE,NA,NA,"NA",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,NA,TRUE,FALSE,TRUE,FALSE,FALSE,NA,21,TRUE,NA,FALSE,NA,NA,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,NA,TRUE,FALSE,TRUE,FALSE,NA,FALSE,21,TRUE,NA,FALSE,NA,NA,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,2,"Neuf",10000,8000,FALSE,FALSE,FALSE,"Passablement","Moins bien","Moins bien","Moyen",100000,FALSE,FALSE,FALSE,FALSE,FALSE,108,TRUE,"NA",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,0,35,"Piste","",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"Taxi/Car","Une fois par semaine","",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Animaux","",15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"ner30012",3,12,1,"agadez",11,"aderbissinat","homme",NA,"marie monogame","musulman",FALSE,FALSE,"FALSE",NA,NA,NA,NA,NA,"NA",NA,NA,NA,NA,FALSE,NA,TRUE,NA,NA,"NA",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,NA,FALSE,FALSE,NA,FALSE,NA,NA,4,TRUE,NA,TRUE,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,"Piste","",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"Taxi/Car","Une fois par semaine","",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Animaux","",15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"ner30014",3,14,1,"agadez",11,"aderbissinat","homme",NA,"marie monogame","musulman",TRUE,TRUE,"TRUE","secondaire 2 generale",NA,NA,NA,NA,"NA",NA,NA,NA,NA,FALSE,NA,TRUE,NA,50000,"Consommation menage",TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,NA,TRUE,TRUE,NA,FALSE,NA,NA,3,TRUE,NA,FALSE,NA,NA,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,NA,TRUE,TRUE,NA,FALSE,NA,NA,3,TRUE,NA,FALSE,NA,NA,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,1,"Neuf",25000,21000,FALSE,FALSE,FALSE,"Passablement","Un peu mieux","Moins bien","Moyen",100000,FALSE,TRUE,FALSE,FALSE,FALSE,108,TRUE,"NA",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,0,35,"Piste","",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"Taxi/Car","Une fois par semaine","",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Animaux","",15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"ner30015",3,15,1,"agadez",11,"aderbissinat","homme",NA,"celibataire","musulman",TRUE,FALSE,"FALSE",NA,TRUE,FALSE,FALSE,NA,"NA",TRUE,FALSE,NA,NA,FALSE,NA,TRUE,NA,NA,"NA",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,NA,TRUE,FALSE,TRUE,FALSE,NA,FALSE,4,TRUE,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,2,"Neuf",15000,10000,FALSE,FALSE,FALSE,"Difficilement","Moins bien","Ne sait pas","Pauvre",120000,FALSE,TRUE,TRUE,FALSE,FALSE,108,TRUE,"Diminue",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,0,35,"Piste","",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"Taxi/Car","Une fois par semaine","",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Animaux","",15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"ner4003",4,3,1,"agadez",12,"arlit","homme",NA,"marie monogame","musulman",TRUE,FALSE,"FALSE",NA,NA,NA,NA,NA,"NA",NA,NA,NA,NA,FALSE,NA,TRUE,NA,NA,"NA",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,NA,TRUE,FALSE,TRUE,FALSE,NA,NA,2,TRUE,NA,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,1,"Occasion",6000,4000,TRUE,FALSE,FALSE,"Passablement","Moins bien","Moins bien","Pauvre",70000,FALSE,FALSE,FALSE,FALSE,TRUE,108,TRUE,"NA",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,2e+05,0,"Route goudronnee","",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Moto/Tricyle","Plusieurs fois par jour","",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"NA","",NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"ner4006",4,6,1,"agadez",12,"arlit","homme",NA,"marie monogame","musulman",TRUE,FALSE,"TRUE","secondaire 1 generale",NA,NA,NA,NA,"NA",NA,NA,NA,NA,FALSE,NA,TRUE,NA,NA,"NA",TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,NA,TRUE,FALSE,NA,FALSE,NA,NA,2,TRUE,NA,FALSE,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,2,"Neuf",17000,5000,TRUE,FALSE,FALSE,"Passablement","Moins bien","Ne sait pas","Moyen",100000,FALSE,FALSE,FALSE,FALSE,FALSE,108,TRUE,"NA",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,3e+05,0,"Route goudronnee","",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Moto/Tricyle","Plusieurs fois par jour","",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"NA","",NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"ner5007",5,7,1,"agadez",12,"arlit","homme",NA,"marie monogame","musulman",TRUE,FALSE,"TRUE","secondaire 1 generale",NA,NA,NA,NA,"NA",NA,NA,NA,NA,FALSE,NA,TRUE,NA,NA,"NA",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,FALSE,0,0,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,1,"Neuf",600000,465000,TRUE,FALSE,FALSE,"Passablement","Pareillement","Ne sait pas","Pauvre",300000,FALSE,TRUE,TRUE,TRUE,TRUE,108,TRUE,"NA",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,0,0,"Piste","",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Moto/Tricyle","Plusieurs fois par semaine","",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Pieds","",30,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"ner5008",5,8,1,"agadez",12,"arlit","homme",NA,"marie polygame","musulman",TRUE,FALSE,"FALSE",NA,NA,NA,NA,NA,"NA",NA,NA,NA,NA,FALSE,NA,TRUE,NA,NA,"NA",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,NA,TRUE,FALSE,NA,FALSE,NA,NA,2,TRUE,NA,FALSE,NA,4000,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,1,"Occasion",15000,10000,FALSE,FALSE,FALSE,"Passablement","Moins bien","Moins bien","Pauvre",200000,TRUE,FALSE,TRUE,FALSE,FALSE,108,TRUE,"NA",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,0,0,"Piste","",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Moto/Tricyle","Plusieurs fois par semaine","",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"Pieds","",30,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"ner6007",6,7,1,"agadez",12,"arlit","homme",NA,"marie polygame","musulman",TRUE,FALSE,"TRUE","secondaire 1 generale",NA,NA,NA,NA,"NA",NA,NA,NA,NA,FALSE,NA,TRUE,NA,NA,"NA",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,NA,TRUE,FALSE,NA,FALSE,NA,NA,5,TRUE,NA,FALSE,NA,NA,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,5,"Neuf",10000,5000,TRUE,FALSE,FALSE,"Passablement","Pareillement","Moins bien","Moyen",150000,FALSE,FALSE,FALSE,FALSE,FALSE,108,TRUE,"NA",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,6e+05,0,"Route goudronnee","",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"Taxi/Car","Plusieurs fois par jour","",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NA","",NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"ner6007",6,7,1,"agadez",12,"arlit","homme",NA,"marie polygame","musulman",TRUE,FALSE,"TRUE","secondaire 1 generale",NA,NA,NA,NA,"NA",NA,NA,NA,NA,FALSE,NA,TRUE,NA,NA,"NA",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,NA,TRUE,FALSE,NA,FALSE,NA,NA,5,TRUE,NA,FALSE,NA,NA,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,5,"Neuf",10000,5000,TRUE,FALSE,FALSE,"Passablement","Pareillement","Moins bien","Moyen",150000,FALSE,FALSE,FALSE,FALSE,FALSE,108,TRUE,"NA",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,6e+05,0,"Route goudronnee","",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"Taxi/Car","Plusieurs fois par jour","",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"NA","",NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
